Specimen,Setting_cat,Organism_group,Organism,Total_isolates,Antibiotic,Susceptibility_%
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,AMIKACIN,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,CEFOPERAZONE / SULBACTAM,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,CEFTAZIDIME,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,CEFTRIAXONE,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,CIPROFLOXACIN,100.0
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,CLINDAMYCIN,75.0
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,CO-TRIMOXAZOLE,87.5
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,COLISTIN BY MIC,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,ERTAPENEM,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,ERYTHROMYCIN,75.0
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,GENTAMICIN,87.5
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,IMIPENEM,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,LEVOFLOXACIN,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,MEROPENEM,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,PENICILLIN BY MIC,0.0
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,TETRACYCLINE,25.0
All Specimen,ICU,Gram positive,Staphylococcus aureus (all isolates),8.0,VANCOMYCIN,87.5
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,AMIKACIN,100.0
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,CEFTAZIDIME,11.56069374084473
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,CEFTRIAXONE,5.202311992645264
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,CIPROFLOXACIN,15.60693645477295
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,CLINDAMYCIN,
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,CO-TRIMOXAZOLE,
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,COLISTIN BY MIC,99.41520309448242
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,ERTAPENEM,
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,ERYTHROMYCIN,
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,GENTAMICIN,
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,IMIPENEM,15.02890110015869
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,LEVOFLOXACIN,15.02890110015869
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,MEROPENEM,13.87283229827881
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,PENICILLIN BY MIC,
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,PIPERACILLIN / TAZOBACTAM,9.411765098571776
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,TETRACYCLINE,
All Specimen,Inpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,173.0,VANCOMYCIN,
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,AMIKACIN,87.5
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,AMOXICILLIN/ CLAVULANIC ACID,63.88888931274414
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,CEFOPERAZONE / SULBACTAM,85.41667175292969
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,CEFTAZIDIME,63.88888931274414
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,CEFTRIAXONE,49.3055534362793
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,CIPROFLOXACIN,20.83333206176757
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,CLINDAMYCIN,
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,CO-TRIMOXAZOLE,
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,COLISTIN BY MIC,99.30555534362792
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,ERTAPENEM,90.97222137451172
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,ERYTHROMYCIN,
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,GENTAMICIN,
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,IMIPENEM,91.66667175292967
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,LEVOFLOXACIN,17.36111068725586
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,MEROPENEM,91.66667175292967
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,PENICILLIN BY MIC,
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,PIPERACILLIN / TAZOBACTAM,77.08332824707031
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,TETRACYCLINE,
All Specimen,Inpatient,Gram negative,Escherichia coli (all isolates),144.0,VANCOMYCIN,
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,AMIKACIN,92.46575164794922
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,AMOXICILLIN/ CLAVULANIC ACID,63.69863128662109
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,CEFOPERAZONE / SULBACTAM,78.08219146728516
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,CEFTAZIDIME,65.75342559814453
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,CEFTRIAXONE,60.27397537231445
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,CIPROFLOXACIN,53.42465591430664
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,CLINDAMYCIN,
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,CO-TRIMOXAZOLE,
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,COLISTIN BY MIC,97.24137496948242
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,ERTAPENEM,86.3013687133789
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,ERYTHROMYCIN,
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,GENTAMICIN,
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,IMIPENEM,89.04109954833984
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,LEVOFLOXACIN,52.05479431152344
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,MEROPENEM,87.67123413085938
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,PENICILLIN BY MIC,
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,PIPERACILLIN / TAZOBACTAM,69.6551742553711
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,TETRACYCLINE,
All Specimen,Inpatient,Gram negative,Klebsiella pneumoniae (all isolates),146.0,VANCOMYCIN,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,AMIKACIN,100.0
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,CEFTAZIDIME,72.83950805664062
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,CEFTRIAXONE,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,CIPROFLOXACIN,83.95061492919922
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,CLINDAMYCIN,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,CO-TRIMOXAZOLE,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,COLISTIN BY MIC,93.82716178894044
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,ERTAPENEM,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,ERYTHROMYCIN,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,GENTAMICIN,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,IMIPENEM,84.81012725830078
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,LEVOFLOXACIN,75.30864715576172
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,MEROPENEM,77.77777862548828
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,PENICILLIN BY MIC,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,PIPERACILLIN / TAZOBACTAM,61.7283935546875
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,TETRACYCLINE,
All Specimen,Inpatient,Gram negative,Pseudomonas aeruginosa (all isolates),81.0,VANCOMYCIN,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,AMIKACIN,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,CEFTAZIDIME,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,CEFTRIAXONE,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,CIPROFLOXACIN,95.52238464355467
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,CLINDAMYCIN,77.6119384765625
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,CO-TRIMOXAZOLE,98.50746154785156
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,COLISTIN BY MIC,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,ERTAPENEM,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,ERYTHROMYCIN,73.13432312011719
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,GENTAMICIN,98.50746154785156
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,IMIPENEM,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,LEVOFLOXACIN,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,MEROPENEM,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,PENICILLIN BY MIC,22.38805961608887
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,TETRACYCLINE,49.25373077392578
All Specimen,Inpatient,Gram positive,Staphylococcus aureus (all isolates),67.0,VANCOMYCIN,98.5
All Specimen,Outpatient,Gram negative,Acinetobacter calcoaceticus-baumannii complex,59.0,AMIKACIN,100.0
